id    position.x    position.y    Texture
0     403.5         413           White.png
1     1164.5        374           1.png
2     1236.5        452           2.png
3     1200.5        393           3.png
4     1236.5        374           4.png
5     1236.5        335           5.png
6     1200.5        472           6.png
7     1130.5        433           7.png
8     1164.5        413           8.png
9     1096.5        413           9.png
10    1200.5        433           10.png
11    1236.5        491           11.png
12    1130.5        393           12.png
13    1236.5        413           13.png
14    1200.5        354           14.png
15    1164.5        452           15.png
