Id           position.x      position.y      texture
0                 403.5           413            White.png
1                 1028.5          413            1.png
2                 1062.5          393            2.png
3                 1062.5          433            3.png
4                 1096.5          374            4.png
5                 1096.5          413            5.png
6                 1096.5          452            6.png
7                 1132.5          393            7.png
8                1132.5          433            8.png
9                1168.5          413            9.png
